protocol,success,hops,messages,match_error,utility,N,ttl,epsilon,alpha,metric,seed
RL-MADTSR,1,3,4,1.190090540766744,0.8155591903710184,200,10,1.5,0.0,weighted,81463
Epidemic,1,1,7,1.3074858157497273,0.8793288668428896,200,20,1.5,0.0,weighted,81463
RandomWalk,0,10,10,,0.0,200,20,1.5,0.0,weighted,81463
Heuristic-MADTSR,0,10,10,,0.0,200,20,1.5,0.0,weighted,81463
RL-MADTSR,1,3,4,1.190090540766744,0.8155591903710184,200,20,1.5,0.0,weighted,81463
Epidemic,1,1,7,1.3074858157497273,0.8793288668428896,200,30,1.5,0.0,weighted,81463
RandomWalk,0,20,20,,0.0,200,30,1.5,0.0,weighted,81463
Heuristic-MADTSR,0,2,2,,0.0,200,30,1.5,0.0,weighted,81463
RL-MADTSR,1,3,4,1.190090540766744,0.8155591903710184,200,30,1.5,0.0,weighted,81463
Epidemic,1,1,7,1.3074858157497273,0.8793288668428896,200,40,1.5,0.0,weighted,81463
RandomWalk,0,20,20,,0.0,200,40,1.5,0.0,weighted,81463
Heuristic-MADTSR,0,7,7,,0.0,200,40,1.5,0.0,weighted,81463
RL-MADTSR,1,3,4,1.190090540766744,0.8155591903710184,200,40,1.5,0.0,weighted,81463
Epidemic,1,5,94,1.2452279143786615,0.0,200,10,1.5,0.0,weighted,67159
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,67159
Heuristic-MADTSR,1,4,5,1.3882852049265053,0.7622070367119389,200,10,1.5,0.0,weighted,67159
RL-MADTSR,0,3,3,,0.0,200,10,1.5,0.0,weighted,67159
Epidemic,1,5,94,1.2452279143786615,0.0,200,20,1.5,0.0,weighted,67159
RandomWalk,0,20,20,,0.0,200,20,1.5,0.0,weighted,67159
Heuristic-MADTSR,1,1,2,1.3882852049265053,0.9293288668428896,200,20,1.5,0.0,weighted,67159
RL-MADTSR,0,3,3,,0.0,200,20,1.5,0.0,weighted,67159
Epidemic,1,5,94,1.2452279143786615,0.0,200,30,1.5,0.0,weighted,67159
RandomWalk,0,11,11,,0.0,200,30,1.5,0.0,weighted,67159
Heuristic-MADTSR,0,3,3,,0.0,200,30,1.5,0.0,weighted,67159
RL-MADTSR,0,3,3,,0.0,200,30,1.5,0.0,weighted,67159
Epidemic,1,5,94,1.2452279143786615,0.0,200,40,1.5,0.0,weighted,67159
RandomWalk,1,25,26,1.4687929757273912,0.012531793034012584,200,40,1.5,0.0,weighted,67159
Heuristic-MADTSR,0,3,3,,0.0,200,40,1.5,0.0,weighted,67159
RL-MADTSR,0,3,3,,0.0,200,40,1.5,0.0,weighted,67159
Epidemic,0,10,80,,0.0,200,10,1.5,0.0,weighted,90255
RandomWalk,1,3,4,1.3988363589951267,0.8155591903710184,200,10,1.5,0.0,weighted,90255
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,90255
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,90255
Epidemic,1,11,111,1.2939205804278444,0.0,200,20,1.5,0.0,weighted,90255
RandomWalk,1,13,14,1.3988363589951267,0.36864751868031376,200,20,1.5,0.0,weighted,90255
Heuristic-MADTSR,0,10,10,,0.0,200,20,1.5,0.0,weighted,90255
RL-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,90255
Epidemic,1,11,111,1.2939205804278444,0.0,200,30,1.5,0.0,weighted,90255
RandomWalk,1,14,15,1.3988363589951267,0.33287377253122963,200,30,1.5,0.0,weighted,90255
Heuristic-MADTSR,0,15,15,,0.0,200,30,1.5,0.0,weighted,90255
RL-MADTSR,1,28,29,0.932881428572396,0.0,200,30,1.5,0.0,weighted,90255
Epidemic,1,11,111,1.2939205804278444,0.0,200,40,1.5,0.0,weighted,90255
RandomWalk,0,5,5,,0.0,200,40,1.5,0.0,weighted,90255
Heuristic-MADTSR,0,15,15,,0.0,200,40,1.5,0.0,weighted,90255
RL-MADTSR,1,28,29,0.932881428572396,0.0,200,40,1.5,0.0,weighted,90255
Epidemic,1,2,31,1.3642911698756783,0.5912252974212047,200,10,1.5,0.0,weighted,26700
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,26700
Heuristic-MADTSR,1,4,5,1.4788301817033993,0.7622070367119389,200,10,1.5,0.0,weighted,26700
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,26700
Epidemic,1,2,31,1.3642911698756783,0.5912252974212047,200,20,1.5,0.0,weighted,26700
RandomWalk,0,11,11,,0.0,200,20,1.5,0.0,weighted,26700
Heuristic-MADTSR,1,4,5,1.4788301817033993,0.7622070367119389,200,20,1.5,0.0,weighted,26700
RL-MADTSR,0,11,11,,0.0,200,20,1.5,0.0,weighted,26700
Epidemic,1,2,31,1.3642911698756783,0.5912252974212047,200,30,1.5,0.0,weighted,26700
RandomWalk,0,15,15,,0.0,200,30,1.5,0.0,weighted,26700
Heuristic-MADTSR,1,4,5,1.4788301817033993,0.7622070367119389,200,30,1.5,0.0,weighted,26700
RL-MADTSR,0,11,11,,0.0,200,30,1.5,0.0,weighted,26700
Epidemic,1,2,31,1.3642911698756783,0.5912252974212047,200,40,1.5,0.0,weighted,26700
RandomWalk,0,20,20,,0.0,200,40,1.5,0.0,weighted,26700
Heuristic-MADTSR,1,4,5,1.4788301817033993,0.7622070367119389,200,40,1.5,0.0,weighted,26700
RL-MADTSR,0,11,11,,0.0,200,40,1.5,0.0,weighted,26700
Epidemic,1,3,39,1.4228772721260468,0.46555919037101845,200,10,1.5,0.0,weighted,78758
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,78758
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,78758
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,78758
Epidemic,1,3,39,1.4228772721260468,0.46555919037101845,200,20,1.5,0.0,weighted,78758
RandomWalk,1,4,5,1.01536091674798,0.7622070367119389,200,20,1.5,0.0,weighted,78758
Heuristic-MADTSR,1,13,14,1.2716683286146544,0.36864751868031376,200,20,1.5,0.0,weighted,78758
RL-MADTSR,1,12,13,1.361831417340873,0.40579695766745594,200,20,1.5,0.0,weighted,78758
Epidemic,1,3,39,1.4228772721260468,0.46555919037101845,200,30,1.5,0.0,weighted,78758
RandomWalk,0,30,30,,0.0,200,30,1.5,0.0,weighted,78758
Heuristic-MADTSR,1,7,8,1.2716683286146544,0.6148911947429107,200,30,1.5,0.0,weighted,78758
RL-MADTSR,1,12,13,1.361831417340873,0.40579695766745594,200,30,1.5,0.0,weighted,78758
Epidemic,1,3,39,1.4228772721260468,0.46555919037101845,200,40,1.5,0.0,weighted,78758
RandomWalk,1,19,20,1.01536091674798,0.1723205880531552,200,40,1.5,0.0,weighted,78758
Heuristic-MADTSR,1,3,4,0.9083131283992012,0.8155591903710184,200,40,1.5,0.0,weighted,78758
RL-MADTSR,1,12,13,1.361831417340873,0.40579695766745594,200,40,1.5,0.0,weighted,78758
Epidemic,1,6,128,1.4758560578226434,0.0,200,10,1.5,0.0,weighted,47027
RandomWalk,0,4,4,,0.0,200,10,1.5,0.0,weighted,47027
Heuristic-MADTSR,1,0,1,1.4154268922850135,0.99,200,10,1.5,0.0,weighted,47027
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,47027
Epidemic,1,6,128,1.4758560578226434,0.0,200,20,1.5,0.0,weighted,47027
RandomWalk,0,9,9,,0.0,200,20,1.5,0.0,weighted,47027
Heuristic-MADTSR,1,0,1,1.4154268922850135,0.99,200,20,1.5,0.0,weighted,47027
RL-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,47027
Epidemic,1,6,128,1.4758560578226434,0.0,200,30,1.5,0.0,weighted,47027
RandomWalk,0,11,11,,0.0,200,30,1.5,0.0,weighted,47027
Heuristic-MADTSR,1,0,1,1.4154268922850135,0.99,200,30,1.5,0.0,weighted,47027
RL-MADTSR,0,24,24,,0.0,200,30,1.5,0.0,weighted,47027
Epidemic,1,6,128,1.4758560578226434,0.0,200,40,1.5,0.0,weighted,47027
RandomWalk,0,5,5,,0.0,200,40,1.5,0.0,weighted,47027
Heuristic-MADTSR,1,0,1,1.4154268922850135,0.99,200,40,1.5,0.0,weighted,47027
RL-MADTSR,0,24,24,,0.0,200,40,1.5,0.0,weighted,47027
Epidemic,1,5,94,1.2348446733907388,0.0,200,10,1.5,0.0,weighted,18517
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,18517
Heuristic-MADTSR,1,4,5,1.1477517139484894,0.7622070367119389,200,10,1.5,0.0,weighted,18517
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,18517
Epidemic,1,5,94,1.2348446733907388,0.0,200,20,1.5,0.0,weighted,18517
RandomWalk,1,9,10,1.4021594147527185,0.5262535236575561,200,20,1.5,0.0,weighted,18517
Heuristic-MADTSR,1,1,2,1.3931650662538928,0.9293288668428896,200,20,1.5,0.0,weighted,18517
RL-MADTSR,1,16,17,1.2938720179194023,0.2651780592663566,200,20,1.5,0.0,weighted,18517
Epidemic,1,5,94,1.2348446733907388,0.0,200,30,1.5,0.0,weighted,18517
RandomWalk,1,4,5,1.4021594147527185,0.7622070367119389,200,30,1.5,0.0,weighted,18517
Heuristic-MADTSR,1,1,2,1.3931650662538928,0.9293288668428896,200,30,1.5,0.0,weighted,18517
RL-MADTSR,1,16,17,1.2938720179194023,0.2651780592663566,200,30,1.5,0.0,weighted,18517
Epidemic,1,5,94,1.2348446733907388,0.0,200,40,1.5,0.0,weighted,18517
RandomWalk,1,3,4,1.4021594147527185,0.8155591903710184,200,40,1.5,0.0,weighted,18517
Heuristic-MADTSR,1,1,2,1.3931650662538928,0.9293288668428896,200,40,1.5,0.0,weighted,18517
RL-MADTSR,1,16,17,1.2938720179194023,0.2651780592663566,200,40,1.5,0.0,weighted,18517
Epidemic,1,4,35,1.3333549504960274,0.4622070367119389,200,10,1.5,0.0,weighted,17119
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,17119
Heuristic-MADTSR,1,1,2,1.448794341941854,0.9293288668428896,200,10,1.5,0.0,weighted,17119
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,17119
Epidemic,1,4,35,1.3333549504960274,0.4622070367119389,200,20,1.5,0.0,weighted,17119
RandomWalk,0,4,4,,0.0,200,20,1.5,0.0,weighted,17119
Heuristic-MADTSR,1,2,3,1.448794341941854,0.8712252974212047,200,20,1.5,0.0,weighted,17119
RL-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,17119
Epidemic,1,4,35,1.3333549504960274,0.4622070367119389,200,30,1.5,0.0,weighted,17119
RandomWalk,1,14,15,0.9219516500707375,0.33287377253122963,200,30,1.5,0.0,weighted,17119
Heuristic-MADTSR,1,3,4,0.8639306388150692,0.8155591903710184,200,30,1.5,0.0,weighted,17119
RL-MADTSR,0,20,20,,0.0,200,30,1.5,0.0,weighted,17119
Epidemic,1,4,35,1.3333549504960274,0.4622070367119389,200,40,1.5,0.0,weighted,17119
RandomWalk,1,19,20,1.010222933062901,0.1723205880531552,200,40,1.5,0.0,weighted,17119
Heuristic-MADTSR,1,2,3,0.8639306388150692,0.8712252974212047,200,40,1.5,0.0,weighted,17119
RL-MADTSR,0,20,20,,0.0,200,40,1.5,0.0,weighted,17119
Epidemic,1,2,12,1.4136829567507037,0.7812252974212047,200,10,1.5,0.0,weighted,56217
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,56217
Heuristic-MADTSR,1,6,7,1.436621953864024,0.6619815282283126,200,10,1.5,0.0,weighted,56217
RL-MADTSR,1,2,3,1.2988173430299272,0.8712252974212047,200,10,1.5,0.0,weighted,56217
Epidemic,1,2,12,1.4136829567507037,0.7812252974212047,200,20,1.5,0.0,weighted,56217
RandomWalk,0,17,17,,0.0,200,20,1.5,0.0,weighted,56217
Heuristic-MADTSR,0,16,16,,0.0,200,20,1.5,0.0,weighted,56217
RL-MADTSR,1,2,3,1.2988173430299272,0.8712252974212047,200,20,1.5,0.0,weighted,56217
Epidemic,1,2,12,1.4136829567507037,0.7812252974212047,200,30,1.5,0.0,weighted,56217
RandomWalk,0,26,26,,0.0,200,30,1.5,0.0,weighted,56217
Heuristic-MADTSR,1,8,9,1.436621953864024,0.5696802704843891,200,30,1.5,0.0,weighted,56217
RL-MADTSR,1,2,3,1.2988173430299272,0.8712252974212047,200,30,1.5,0.0,weighted,56217
Epidemic,1,2,12,1.4136829567507037,0.7812252974212047,200,40,1.5,0.0,weighted,56217
RandomWalk,0,10,10,,0.0,200,40,1.5,0.0,weighted,56217
Heuristic-MADTSR,1,15,16,1.2155370798094285,0.2984060113052235,200,40,1.5,0.0,weighted,56217
RL-MADTSR,1,2,3,1.2988173430299272,0.8712252974212047,200,40,1.5,0.0,weighted,56217
Epidemic,1,4,78,1.2584305959901025,0.03220703671193892,200,10,1.5,0.0,weighted,31944
RandomWalk,0,7,7,,0.0,200,10,1.5,0.0,weighted,31944
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,31944
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,31944
Epidemic,1,4,78,1.2584305959901025,0.03220703671193892,200,20,1.5,0.0,weighted,31944
RandomWalk,0,20,20,,0.0,200,20,1.5,0.0,weighted,31944
Heuristic-MADTSR,1,3,4,0.7616736024195092,0.8155591903710184,200,20,1.5,0.0,weighted,31944
RL-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,31944
Epidemic,1,4,78,1.2584305959901025,0.03220703671193892,200,30,1.5,0.0,weighted,31944
RandomWalk,1,28,29,1.4906259108054105,0.0,200,30,1.5,0.0,weighted,31944
Heuristic-MADTSR,1,10,11,1.3128248939327094,0.4845205479701943,200,30,1.5,0.0,weighted,31944
RL-MADTSR,1,25,26,1.349536462707641,0.012531793034012584,200,30,1.5,0.0,weighted,31944
Epidemic,1,4,78,1.2584305959901025,0.03220703671193892,200,40,1.5,0.0,weighted,31944
RandomWalk,1,22,23,1.3591863028823306,0.08854230087321899,200,40,1.5,0.0,weighted,31944
Heuristic-MADTSR,1,3,4,0.7616736024195092,0.8155591903710184,200,40,1.5,0.0,weighted,31944
RL-MADTSR,1,25,26,1.349536462707641,0.012531793034012584,200,40,1.5,0.0,weighted,31944
Epidemic,1,2,35,0.8468296127466892,0.5512252974212046,200,10,1.5,0.0,weighted,10189
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,10189
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,10189
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,10189
Epidemic,1,2,35,0.8468296127466892,0.5512252974212046,200,20,1.5,0.0,weighted,10189
RandomWalk,0,20,20,,0.0,200,20,1.5,0.0,weighted,10189
Heuristic-MADTSR,1,15,16,1.4025370618594226,0.2984060113052235,200,20,1.5,0.0,weighted,10189
RL-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,10189
Epidemic,1,2,35,0.8468296127466892,0.5512252974212046,200,30,1.5,0.0,weighted,10189
RandomWalk,1,28,29,1.4689766148506167,0.0,200,30,1.5,0.0,weighted,10189
Heuristic-MADTSR,0,30,30,,0.0,200,30,1.5,0.0,weighted,10189
RL-MADTSR,0,20,20,,0.0,200,30,1.5,0.0,weighted,10189
Epidemic,1,2,35,0.8468296127466892,0.5512252974212046,200,40,1.5,0.0,weighted,10189
RandomWalk,1,11,12,1.3778192235444244,0.4443955181193583,200,40,1.5,0.0,weighted,10189
Heuristic-MADTSR,1,16,17,1.4025370618594226,0.2651780592663566,200,40,1.5,0.0,weighted,10189
RL-MADTSR,0,20,20,,0.0,200,40,1.5,0.0,weighted,10189
Epidemic,1,1,12,1.0596173625645122,0.8293288668428896,200,10,1.5,0.0,weighted,42714
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,42714
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,42714
RL-MADTSR,1,1,2,1.3857927494960416,0.9293288668428896,200,10,1.5,0.0,weighted,42714
Epidemic,1,1,12,1.0596173625645122,0.8293288668428896,200,20,1.5,0.0,weighted,42714
RandomWalk,0,16,16,,0.0,200,20,1.5,0.0,weighted,42714
Heuristic-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,42714
RL-MADTSR,1,1,2,1.3857927494960416,0.9293288668428896,200,20,1.5,0.0,weighted,42714
Epidemic,1,1,12,1.0596173625645122,0.8293288668428896,200,30,1.5,0.0,weighted,42714
RandomWalk,0,4,4,,0.0,200,30,1.5,0.0,weighted,42714
Heuristic-MADTSR,0,30,30,,0.0,200,30,1.5,0.0,weighted,42714
RL-MADTSR,1,1,2,1.3857927494960416,0.9293288668428896,200,30,1.5,0.0,weighted,42714
Epidemic,1,1,12,1.0596173625645122,0.8293288668428896,200,40,1.5,0.0,weighted,42714
RandomWalk,0,17,17,,0.0,200,40,1.5,0.0,weighted,42714
Heuristic-MADTSR,0,40,40,,0.0,200,40,1.5,0.0,weighted,42714
RL-MADTSR,1,1,2,1.3857927494960416,0.9293288668428896,200,40,1.5,0.0,weighted,42714
Epidemic,1,9,147,1.376081748223171,0.0,200,10,1.5,0.0,weighted,65292
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,65292
Heuristic-MADTSR,1,3,4,1.0661683637112147,0.8155591903710184,200,10,1.5,0.0,weighted,65292
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,65292
Epidemic,1,9,147,1.376081748223171,0.0,200,20,1.5,0.0,weighted,65292
RandomWalk,0,20,20,,0.0,200,20,1.5,0.0,weighted,65292
Heuristic-MADTSR,1,2,3,1.4954692534051062,0.8712252974212047,200,20,1.5,0.0,weighted,65292
RL-MADTSR,0,20,20,,0.0,200,20,1.5,0.0,weighted,65292
Epidemic,1,9,147,1.376081748223171,0.0,200,30,1.5,0.0,weighted,65292
RandomWalk,1,25,26,0.9463978337549667,0.012531793034012584,200,30,1.5,0.0,weighted,65292
Heuristic-MADTSR,1,4,5,1.4954692534051062,0.7622070367119389,200,30,1.5,0.0,weighted,65292
RL-MADTSR,0,25,25,,0.0,200,30,1.5,0.0,weighted,65292
Epidemic,1,9,147,1.376081748223171,0.0,200,40,1.5,0.0,weighted,65292
RandomWalk,0,36,36,,0.0,200,40,1.5,0.0,weighted,65292
Heuristic-MADTSR,1,2,3,1.4954692534051062,0.8712252974212047,200,40,1.5,0.0,weighted,65292
RL-MADTSR,0,25,25,,0.0,200,40,1.5,0.0,weighted,65292
Epidemic,1,6,116,1.287412824149107,0.0,200,10,1.5,0.0,weighted,31894
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,31894
Heuristic-MADTSR,1,5,6,1.4427057013300266,0.7110515858035664,200,10,1.5,0.0,weighted,31894
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,31894
Epidemic,1,6,116,1.287412824149107,0.0,200,20,1.5,0.0,weighted,31894
RandomWalk,0,20,20,,0.0,200,20,1.5,0.0,weighted,31894
Heuristic-MADTSR,1,3,4,1.4427057013300266,0.8155591903710184,200,20,1.5,0.0,weighted,31894
RL-MADTSR,1,11,12,1.487130806676741,0.4443955181193583,200,20,1.5,0.0,weighted,31894
Epidemic,1,6,116,1.287412824149107,0.0,200,30,1.5,0.0,weighted,31894
RandomWalk,0,5,5,,0.0,200,30,1.5,0.0,weighted,31894
Heuristic-MADTSR,1,3,4,1.4427057013300266,0.8155591903710184,200,30,1.5,0.0,weighted,31894
RL-MADTSR,1,11,12,1.487130806676741,0.4443955181193583,200,30,1.5,0.0,weighted,31894
Epidemic,1,6,116,1.287412824149107,0.0,200,40,1.5,0.0,weighted,31894
RandomWalk,1,17,18,1.3967827192840627,0.23312709387821823,200,40,1.5,0.0,weighted,31894
Heuristic-MADTSR,1,5,6,1.4401994545494086,0.7110515858035664,200,40,1.5,0.0,weighted,31894
RL-MADTSR,1,11,12,1.487130806676741,0.4443955181193583,200,40,1.5,0.0,weighted,31894
Epidemic,1,2,23,1.0088779796551186,0.6712252974212047,200,10,1.5,0.0,weighted,95534
RandomWalk,0,10,10,,0.0,200,10,1.5,0.0,weighted,95534
Heuristic-MADTSR,1,5,6,1.3615479676697442,0.7110515858035664,200,10,1.5,0.0,weighted,95534
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.0,weighted,95534
Epidemic,1,2,23,1.0088779796551186,0.6712252974212047,200,20,1.5,0.0,weighted,95534
RandomWalk,0,20,20,,0.0,200,20,1.5,0.0,weighted,95534
Heuristic-MADTSR,1,12,13,1.3615479676697442,0.40579695766745594,200,20,1.5,0.0,weighted,95534
RL-MADTSR,0,14,14,,0.0,200,20,1.5,0.0,weighted,95534
Epidemic,1,2,23,1.0088779796551186,0.6712252974212047,200,30,1.5,0.0,weighted,95534
RandomWalk,0,15,15,,0.0,200,30,1.5,0.0,weighted,95534
Heuristic-MADTSR,1,4,5,1.4038852749789261,0.7622070367119389,200,30,1.5,0.0,weighted,95534
RL-MADTSR,0,14,14,,0.0,200,30,1.5,0.0,weighted,95534
Epidemic,1,2,23,1.0088779796551186,0.6712252974212047,200,40,1.5,0.0,weighted,95534
RandomWalk,1,28,29,1.2536677552193611,0.0,200,40,1.5,0.0,weighted,95534
Heuristic-MADTSR,1,3,4,1.3615479676697442,0.8155591903710184,200,40,1.5,0.0,weighted,95534
RL-MADTSR,0,14,14,,0.0,200,40,1.5,0.0,weighted,95534
Epidemic,1,3,45,1.4923381496146957,0.40555919037101845,200,10,1.5,0.01,l1,77954
RandomWalk,1,5,6,1.3308053653734744,0.7110515858035664,200,10,1.5,0.01,l1,77954
Heuristic-MADTSR,1,1,2,1.0094682308254308,0.9293288668428896,200,10,1.5,0.01,l1,77954
RL-MADTSR,1,1,2,1.206585649150959,0.9293288668428896,200,10,1.5,0.01,l1,77954
Epidemic,1,3,45,1.4923381496146957,0.40555919037101845,200,20,1.5,0.01,l1,77954
RandomWalk,1,1,2,1.4652471726631893,0.9293288668428896,200,20,1.5,0.01,l1,77954
Heuristic-MADTSR,1,1,2,1.0094682308254308,0.9293288668428896,200,20,1.5,0.01,l1,77954
RL-MADTSR,1,1,2,1.206585649150959,0.9293288668428896,200,20,1.5,0.01,l1,77954
Epidemic,1,3,45,1.4923381496146957,0.40555919037101845,200,30,1.5,0.01,l1,77954
RandomWalk,1,7,8,1.1926650713266762,0.6148911947429107,200,30,1.5,0.01,l1,77954
Heuristic-MADTSR,1,1,2,1.0094682308254308,0.9293288668428896,200,30,1.5,0.01,l1,77954
RL-MADTSR,1,1,2,1.206585649150959,0.9293288668428896,200,30,1.5,0.01,l1,77954
Epidemic,1,3,45,1.4923381496146957,0.40555919037101845,200,40,1.5,0.01,l1,77954
RandomWalk,1,1,2,1.4652471726631893,0.9293288668428896,200,40,1.5,0.01,l1,77954
Heuristic-MADTSR,0,19,19,,0.0,200,40,1.5,0.01,l1,77954
RL-MADTSR,1,1,2,1.206585649150959,0.9293288668428896,200,40,1.5,0.01,l1,77954
Epidemic,1,1,9,1.2788901796701548,0.8593288668428897,200,10,1.5,0.01,l1,51273
RandomWalk,1,1,2,1.0164077779899918,0.9293288668428896,200,10,1.5,0.01,l1,51273
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.01,l1,51273
RL-MADTSR,0,1,1,,0.0,200,10,1.5,0.01,l1,51273
Epidemic,1,1,9,1.2788901796701548,0.8593288668428897,200,20,1.5,0.01,l1,51273
RandomWalk,1,4,5,1.0164077779899918,0.7622070367119389,200,20,1.5,0.01,l1,51273
Heuristic-MADTSR,1,6,7,0.44312643061820267,0.6619815282283126,200,20,1.5,0.01,l1,51273
RL-MADTSR,0,1,1,,0.0,200,20,1.5,0.01,l1,51273
Epidemic,1,1,9,1.2788901796701548,0.8593288668428897,200,30,1.5,0.01,l1,51273
RandomWalk,0,21,21,,0.0,200,30,1.5,0.01,l1,51273
Heuristic-MADTSR,1,6,7,0.72764532639312,0.6619815282283126,200,30,1.5,0.01,l1,51273
RL-MADTSR,0,1,1,,0.0,200,30,1.5,0.01,l1,51273
Epidemic,1,1,9,1.2788901796701548,0.8593288668428897,200,40,1.5,0.01,l1,51273
RandomWalk,1,1,2,1.0749029613652699,0.9293288668428896,200,40,1.5,0.01,l1,51273
Heuristic-MADTSR,1,23,24,0.44312643061820267,0.06240140152949969,200,40,1.5,0.01,l1,51273
RL-MADTSR,0,1,1,,0.0,200,40,1.5,0.01,l1,51273
Epidemic,1,4,66,1.4572224458850782,0.15220703671193891,200,10,1.5,0.01,l1,93465
RandomWalk,0,10,10,,0.0,200,10,1.5,0.01,l1,93465
Heuristic-MADTSR,1,1,2,1.2957282825513654,0.9293288668428896,200,10,1.5,0.01,l1,93465
RL-MADTSR,1,2,3,1.4584750335689698,0.8712252974212047,200,10,1.5,0.01,l1,93465
Epidemic,1,4,66,1.4572224458850782,0.15220703671193891,200,20,1.5,0.01,l1,93465
RandomWalk,1,6,7,1.3583042374871466,0.6619815282283126,200,20,1.5,0.01,l1,93465
Heuristic-MADTSR,1,1,2,1.2957282825513654,0.9293288668428896,200,20,1.5,0.01,l1,93465
RL-MADTSR,1,2,3,1.4584750335689698,0.8712252974212047,200,20,1.5,0.01,l1,93465
Epidemic,1,4,66,1.4572224458850782,0.15220703671193891,200,30,1.5,0.01,l1,93465
RandomWalk,1,4,5,0.8314445702754762,0.7622070367119389,200,30,1.5,0.01,l1,93465
Heuristic-MADTSR,1,1,2,1.2957282825513654,0.9293288668428896,200,30,1.5,0.01,l1,93465
RL-MADTSR,1,2,3,1.4584750335689698,0.8712252974212047,200,30,1.5,0.01,l1,93465
Epidemic,1,4,66,1.4572224458850782,0.15220703671193891,200,40,1.5,0.01,l1,93465
RandomWalk,0,12,12,,0.0,200,40,1.5,0.01,l1,93465
Heuristic-MADTSR,0,28,28,,0.0,200,40,1.5,0.01,l1,93465
RL-MADTSR,1,2,3,1.4584750335689698,0.8712252974212047,200,40,1.5,0.01,l1,93465
Epidemic,1,3,62,1.4962079596421898,0.23555919037101847,200,10,1.5,0.01,l1,43297
RandomWalk,0,10,10,,0.0,200,10,1.5,0.01,l1,43297
Heuristic-MADTSR,0,10,10,,0.0,200,10,1.5,0.01,l1,43297
RL-MADTSR,1,7,8,0.7474591526536385,0.6148911947429107,200,10,1.5,0.01,l1,43297
Epidemic,1,3,62,1.4962079596421898,0.23555919037101847,200,20,1.5,0.01,l1,43297
RandomWalk,0,20,20,,0.0,200,20,1.5,0.01,l1,43297
Heuristic-MADTSR,0,20,20,,0.0,200,20,1.5,0.01,l1,43297
RL-MADTSR,1,7,8,0.7474591526536385,0.6148911947429107,200,20,1.5,0.01,l1,43297
Epidemic,1,3,62,1.4962079596421898,0.23555919037101847,200,30,1.5,0.01,l1,43297
RandomWalk,0,13,13,,0.0,200,30,1.5,0.01,l1,43297
Heuristic-MADTSR,1,28,29,1.3913561187550856,0.0,200,30,1.5,0.01,l1,43297
RL-MADTSR,1,7,8,0.7474591526536385,0.6148911947429107,200,30,1.5,0.01,l1,43297
Epidemic,1,3,62,1.4962079596421898,0.23555919037101847,200,40,1.5,0.01,l1,43297
RandomWalk,0,30,30,,0.0,200,40,1.5,0.01,l1,43297
Heuristic-MADTSR,0,23,23,,0.0,200,40,1.5,0.01,l1,43297
RL-MADTSR,1,7,8,0.7474591526536385,0.6148911947429107,200,40,1.5,0.01,l1,43297
Epidemic,1,0,1,1.4718431336189997,0.99,200,10,1.5,0.01,l1,13966
RandomWalk,0,10,10,,0.0,200,10,1.5,0.01,l1,13966
Heuristic-MADTSR,1,2,3,1.3361186290108686,0.8712252974212047,200,10,1.5,0.01,l1,13966
RL-MADTSR,0,10,10,,0.0,200,10,1.5,0.01,l1,13966
