protocol,success,hops,messages,match_error,utility,N,ttl,epsilon,alpha,metric,seed
Epidemic,0,40,26,,0.0,100,40,0.5,0.0,l1,78606
RandomWalk,0,8,8,,0.0,100,40,0.5,0.0,l1,78606
Heuristic-MADTSR,0,10,10,,0.0,100,40,0.5,0.0,l1,78606
RL-MADTSR,0,3,3,,0.0,100,40,0.5,0.0,l1,78606
Epidemic,0,10,40,,0.0,100,10,0.5,0.0,l1,51322
RandomWalk,0,5,5,,0.0,100,10,0.5,0.0,l1,51322
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,51322
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,51322
Epidemic,0,20,76,,0.0,100,20,0.5,0.0,l1,51322
RandomWalk,0,1,1,,0.0,100,20,0.5,0.0,l1,51322
Heuristic-MADTSR,0,19,19,,0.0,100,20,0.5,0.0,l1,51322
RL-MADTSR,0,19,19,,0.0,100,20,0.5,0.0,l1,51322
Epidemic,0,30,85,,0.0,100,30,0.5,0.0,l1,51322
RandomWalk,0,17,17,,0.0,100,30,0.5,0.0,l1,51322
Heuristic-MADTSR,0,24,24,,0.0,100,30,0.5,0.0,l1,51322
RL-MADTSR,0,19,19,,0.0,100,30,0.5,0.0,l1,51322
Epidemic,0,40,85,,0.0,100,40,0.5,0.0,l1,51322
RandomWalk,0,1,1,,0.0,100,40,0.5,0.0,l1,51322
Heuristic-MADTSR,0,19,19,,0.0,100,40,0.5,0.0,l1,51322
RL-MADTSR,0,19,19,,0.0,100,40,0.5,0.0,l1,51322
Epidemic,0,10,0,,0.0,100,10,0.5,0.0,l1,12811
RandomWalk,0,1,1,,0.0,100,10,0.5,0.0,l1,12811
Heuristic-MADTSR,0,1,1,,0.0,100,10,0.5,0.0,l1,12811
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,12811
Epidemic,0,20,0,,0.0,100,20,0.5,0.0,l1,12811
RandomWalk,0,1,1,,0.0,100,20,0.5,0.0,l1,12811
Heuristic-MADTSR,0,1,1,,0.0,100,20,0.5,0.0,l1,12811
RL-MADTSR,0,13,13,,0.0,100,20,0.5,0.0,l1,12811
Epidemic,0,30,0,,0.0,100,30,0.5,0.0,l1,12811
RandomWalk,0,1,1,,0.0,100,30,0.5,0.0,l1,12811
Heuristic-MADTSR,0,1,1,,0.0,100,30,0.5,0.0,l1,12811
RL-MADTSR,0,13,13,,0.0,100,30,0.5,0.0,l1,12811
Epidemic,0,40,0,,0.0,100,40,0.5,0.0,l1,12811
RandomWalk,0,1,1,,0.0,100,40,0.5,0.0,l1,12811
Heuristic-MADTSR,0,1,1,,0.0,100,40,0.5,0.0,l1,12811
RL-MADTSR,0,13,13,,0.0,100,40,0.5,0.0,l1,12811
Epidemic,0,10,13,,0.0,100,10,0.5,0.0,l1,83974
RandomWalk,0,2,2,,0.0,100,10,0.5,0.0,l1,83974
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,83974
RL-MADTSR,0,5,5,,0.0,100,10,0.5,0.0,l1,83974
Epidemic,0,20,13,,0.0,100,20,0.5,0.0,l1,83974
RandomWalk,0,20,20,,0.0,100,20,0.5,0.0,l1,83974
Heuristic-MADTSR,0,12,12,,0.0,100,20,0.5,0.0,l1,83974
RL-MADTSR,0,5,5,,0.0,100,20,0.5,0.0,l1,83974
Epidemic,0,30,13,,0.0,100,30,0.5,0.0,l1,83974
RandomWalk,0,15,15,,0.0,100,30,0.5,0.0,l1,83974
Heuristic-MADTSR,0,15,15,,0.0,100,30,0.5,0.0,l1,83974
RL-MADTSR,0,5,5,,0.0,100,30,0.5,0.0,l1,83974
Epidemic,0,40,13,,0.0,100,40,0.5,0.0,l1,83974
RandomWalk,0,5,5,,0.0,100,40,0.5,0.0,l1,83974
Heuristic-MADTSR,0,12,12,,0.0,100,40,0.5,0.0,l1,83974
RL-MADTSR,0,5,5,,0.0,100,40,0.5,0.0,l1,83974
Epidemic,0,10,0,,0.0,100,10,0.5,0.0,l1,45038
RandomWalk,0,1,1,,0.0,100,10,0.5,0.0,l1,45038
Heuristic-MADTSR,0,1,1,,0.0,100,10,0.5,0.0,l1,45038
RL-MADTSR,0,4,4,,0.0,100,10,0.5,0.0,l1,45038
Epidemic,0,20,0,,0.0,100,20,0.5,0.0,l1,45038
RandomWalk,0,1,1,,0.0,100,20,0.5,0.0,l1,45038
Heuristic-MADTSR,0,12,12,,0.0,100,20,0.5,0.0,l1,45038
RL-MADTSR,0,4,4,,0.0,100,20,0.5,0.0,l1,45038
Epidemic,0,30,0,,0.0,100,30,0.5,0.0,l1,45038
RandomWalk,0,1,1,,0.0,100,30,0.5,0.0,l1,45038
Heuristic-MADTSR,0,12,12,,0.0,100,30,0.5,0.0,l1,45038
RL-MADTSR,0,4,4,,0.0,100,30,0.5,0.0,l1,45038
Epidemic,0,40,0,,0.0,100,40,0.5,0.0,l1,45038
RandomWalk,0,1,1,,0.0,100,40,0.5,0.0,l1,45038
Heuristic-MADTSR,0,12,12,,0.0,100,40,0.5,0.0,l1,45038
RL-MADTSR,0,4,4,,0.0,100,40,0.5,0.0,l1,45038
Epidemic,0,10,15,,0.0,100,10,0.5,0.0,l1,50035
RandomWalk,0,10,10,,0.0,100,10,0.5,0.0,l1,50035
Heuristic-MADTSR,0,3,3,,0.0,100,10,0.5,0.0,l1,50035
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,50035
Epidemic,0,20,15,,0.0,100,20,0.5,0.0,l1,50035
RandomWalk,0,4,4,,0.0,100,20,0.5,0.0,l1,50035
Heuristic-MADTSR,0,3,3,,0.0,100,20,0.5,0.0,l1,50035
RL-MADTSR,0,20,20,,0.0,100,20,0.5,0.0,l1,50035
Epidemic,0,30,15,,0.0,100,30,0.5,0.0,l1,50035
RandomWalk,0,10,10,,0.0,100,30,0.5,0.0,l1,50035
Heuristic-MADTSR,0,2,2,,0.0,100,30,0.5,0.0,l1,50035
RL-MADTSR,0,30,30,,0.0,100,30,0.5,0.0,l1,50035
Epidemic,0,40,15,,0.0,100,40,0.5,0.0,l1,50035
RandomWalk,0,3,3,,0.0,100,40,0.5,0.0,l1,50035
Heuristic-MADTSR,0,3,3,,0.0,100,40,0.5,0.0,l1,50035
RL-MADTSR,0,30,30,,0.0,100,40,0.5,0.0,l1,50035
Epidemic,0,10,38,,0.0,100,10,0.5,0.0,l1,37079
RandomWalk,0,5,5,,0.0,100,10,0.5,0.0,l1,37079
Heuristic-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,37079
RL-MADTSR,0,8,8,,0.0,100,10,0.5,0.0,l1,37079
